date,regn,Assets,Loans_Total_Net,Loans_LLP,Equity,Net_Income_Current,Client_Deposits,Net_Interest_Income,month,flag_equity_negative,flag_loans_negative,flag_deposits_negative,flag_assets_negative,flag_llp_exceeds_net,flag_llp_positive_sign,profit_month,profit_12m,equity_avg_13,equity_any_neg_in_window,ROE_12m,ROE_12m_flow_check,loans_avg_Q,loans_any_neg_in_Q,LoanYield_3m,Loans_Gross,LDR,flag_roe_outlier,flag_yield_outlier,flag_ldr_outlier
2020-01-01,bank_1,1051211.0,635343.0,-35988.1,176754.2,7872.6,754272.9,8196.4,1,False,False,False,False,False,False,,,,False,,,,False,,671331.1,0.8900374121886123,False,False,False
2020-02-01,bank_1,1111624.6,652379.4,-36306.8,182168.2,2753.7,809182.4,,2,False,False,False,False,False,False,2753.7,,,False,,,,False,,688686.2000000001,0.8510889510201903,False,False,False
2020-03-01,bank_1,1284219.1,646512.2,-37185.4,183067.8,4097.4,891243.9,,3,False,False,False,False,False,False,1343.6999999999998,,,False,,,,False,,683697.6,0.7671273823024202,False,False,False
2020-04-01,bank_1,1342306.8,718370.7,-38449.9,183892.6,4529.6,1030315.3,8184.2,4,False,False,False,False,False,False,432.2000000000007,,,False,,,663151.325,False,0.04936550492453589,756820.6,0.7345524229330574,False,False,False
2020-05-01,bank_1,1344585.1,725013.9,-38338.8,185205.7,4702.2,994277.2,,5,False,False,False,False,False,False,172.59999999999945,,,False,,,685569.05,False,,763352.7000000001,0.7677463588624984,False,False,False
2020-06-01,bank_1,1262624.3,704453.7,-38426.7,187251.4,5813.9,916235.9,,6,False,False,False,False,False,False,1111.6999999999998,,,False,,,698587.625,False,,742880.3999999999,0.8107959969697759,False,False,False
2020-07-01,bank_1,1238150.8,629968.8,-39677.0,183357.9,2431.0,923185.2,7650.4,7,False,False,False,False,False,False,-3382.8999999999996,,,False,,,694451.7749999999,False,0.0440658388410052,669645.8,0.7253645314071328,False,False,False
2020-08-01,bank_1,1143049.2,617604.4,-41412.5,183418.5,2296.2,832990.2,,8,False,False,False,False,False,False,-134.80000000000018,,,False,,,669260.2000000001,False,,659016.9,0.7911460422943752,False,False,False
2020-09-01,bank_1,1139227.0,597190.6,-41728.4,186328.3,5955.4,848617.8,,9,False,False,False,False,False,False,3659.2,,,False,,,637304.375,False,,638919.0,0.752893705505588,False,False,False
2020-10-01,bank_1,1146516.7,591705.9,-42897.3,178887.2,5953.4,860615.7,9222.6,10,False,False,False,False,False,False,-2.0,,,False,,,609117.425,False,0.060563691803760165,634603.2000000001,0.7373827830470675,False,False,False
2020-11-01,bank_1,1234439.5,566642.0,-42699.0,180586.3,8037.3,937195.3,,11,False,False,False,False,False,False,2083.9000000000005,,,False,,,593285.725,False,,609341.0,0.6501750488932243,False,False,False
